Grouping,Stratified, Total Estimate, Total Margin of Error, With a disability Estimate, With a disability Margin of Error, Percent with a disability Estimate, Percent with a disability Margin of Error
Vision Difficulty,18 to 34 years,"9,507,186","±3,166","96,941","±2,937",1.00%,±0.1
Vision Difficulty,35 to 64 years,"14,840,209","±2,670","277,061","±4,491",1.90%,±0.1
Vision Difficulty,65 years and over,"5,548,424","±1,329","343,295","±4,957",6.20%,±0.1
Vision Difficulty,65 to 74 years,"3,238,876","±1,415","127,366","±2,995",3.90%,±0.1
Vision Difficulty,75 years and over,"2,309,548","±1,469","215,929","±3,298",9.30%,±0.1
Cognitive Difficulty,total,na,na,"1,585,969","±11,101",4.40%,±0.1
Cognitive Difficulty,under 18 years,"6,534,036",±956,"215,338","±4,041",3.30%,±0.1
Cognitive Difficulty,18 to 64 years,"24,347,395","±3,188","844,846","±6,980",3.50%,±0.1
Cognitive Difficulty,18 to 34 years,"9,507,186","±3,166","307,165","±5,036",3.20%,±0.1
Cognitive Difficulty,35 to 64 years,"14,840,209","±2,670","537,681","±5,714",3.60%,±0.1
Cognitive Difficulty,65 years and over,"5,548,424","±1,329","525,785","±6,182",9.50%,±0.1
Cognitive Difficulty,65 to 74 years,"3,238,876","±1,415","169,320","±3,341",5.20%,±0.1
Cognitive Difficulty,75 years and over,"2,309,548","±1,469","356,465","±5,087",15.40%,±0.2
Ambulatory Difficulty,total,na,na,"2,118,765","±12,088",5.80%,±0.1
Ambulatory Difficulty,under 18 years,"6,534,036",±956,"35,249","±1,548",0.50%,±0.1
Ambulatory Difficulty,18 to 64 years,"24,347,395","±3,188","855,712","±7,834",3.50%,±0.1
Ambulatory Difficulty,18 to 34 years,"9,507,186","±3,166","100,873","±2,914",1.10%,±0.1
Ambulatory Difficulty,35 to 64 years,"14,840,209","±2,670","754,839","±7,487",5.10%,±0.1
Ambulatory Difficulty,65 years and over,"5,548,424","±1,329","1,227,804","±8,466",22.10%,±0.2
Ambulatory Difficulty,65 to 74 years,"3,238,876","±1,415","454,686","±5,703",14.00%,±0.2
Ambulatory Difficulty,75 years and over,"2,309,548","±1,469","773,118","±5,983",33.50%,±0.3
Selfcare Difficulty,total,na,na,"964,579","±8,298",2.60%,±0.1
Selfcare Difficulty,under 18 years,"6,534,036",±956,"71,181","±2,336",1.10%,±0.1
Selfcare Difficulty,18 to 64 years,"24,347,395","±3,188","360,887","±5,144",1.50%,±0.1
Selfcare Difficulty,18 to 34 years,"9,507,186","±3,166","74,954","±2,536",0.80%,±0.1
Selfcare Difficulty,35 to 64 years,"14,840,209","±2,670","285,933","±4,998",1.90%,±0.1
Selfcare Difficulty,65 years and over,"5,548,424","±1,329","532,511","±5,594",9.60%,±0.1
Selfcare Difficulty,65 to 74 years,"3,238,876","±1,415","151,055","±3,095",4.70%,±0.1
Selfcare Difficulty,75 years and over,"2,309,548","±1,469","381,456","±5,016",16.50%,±0.2
Independent Living Difficulty,total,na,na,"1,654,210","±9,255",5.50%,±0.1
Independent Living Difficulty,18 to 64 years,"24,347,395","±3,188","733,610","±6,971",3.00%,±0.1
Independent Living Difficulty,18 to 34 years,"9,507,186","±3,166","208,403","±4,067",2.20%,±0.1
Independent Living Difficulty,35 to 64 years,"14,840,209","±2,670","525,207","±6,316",3.50%,±0.1
Independent Living Difficulty,65 years and over,"5,548,424","±1,329","920,600","±7,233",16.60%,±0.1
Independent Living Difficulty,65 to 74 years,"3,238,876","±1,415","265,337","±3,733",8.20%,±0.1
Independent Living Difficulty,75 years and over,"2,309,548","±1,469","655,263","±6,200",28.40%,±0.3
